,이름,제조사,주원료,규격,도수,설명
97,제주 감귤주,시트러스,"감귤(제주산)증류주원액,정제수",750ml,50%,신례명주는 반짝이는 황금빛 제주 감귤을 저온 발효하여 증류한 후 참나무통에 숙성한 술입니다.
98,해창 생막걸리,해창주조장,"정제수.참쌀(국내산)15.3%,멥쌀(국내산),입국,곡자(밀) 밀합유 효모",900ml,12%,"땅끝마을 해남에서 온 프리미엄 생 막걸리 찹쌀과 멥쌀 그리고 물,원재료의 고요한 맛과 향을 그대로 담아 자연 발효로 장기간 숙성시켜 만듭니다."
99,애플린,반딧불사과와인,"효모,설탕,구연산[산도조절제],소르빈산칼륨[보존료],수크랄로스[감미료],메타중아황산칼륨[산화방지제] 아황산함유",750ml,12%,애플린 와인은 향긋한 아로마 향과 목 넘김이 부드러운 깔끔한 스위트 와인으로 인기가 많은 와인입니다.
100,도원결의,영덕주조,"정제수,증류원액,복숭아(국내산),복숭아향(천연향류),포도당,효소처리스테비아,구연산",360ml,40%,청정지역 영덕의 해풍을 맞고 자란 복숭아를 천연 발효 기법으로 빚어 자연스러운 복숭아 향이 풍부하며 은은한 단맛과 상큼함이 조화롭고 목넘김이 부드럽습니다.
101,M24,용소주,"정제수,쌀,국,메밀",375ml,24%,시원한 술맛과 따뜻하고 스파이시한 목넘김이 반전 매력으로 온 몸의 열기가 진한 여운을 주는 특별한 술입니다.
102,딸기 스파클링와인,해미읍성딸기와인,"선신딸기90% ,아황산염,소르빈산염,백설탕",750ml,12%,직접 재배한 딸기만을 가지고 특허받은 딸기와 인 제조법으로 만든 와인입니다.
103,서울야행,몽타주조,"정제수,쌀 (김포산),누룩 밀 함유",360ml,8%,"오직 쌀, 물, 직접 제조한 누룩으로만 담근 100% 순곡주입니다."
104,달,농업회사법인 ㈜별빛드리운못,"유기농 찹쌀(충남 홍성군 홍동면), 우리밀 누룩 , 암반수 약산샘물",480ml,12%,새콤하고 달콤하며 쌉싸름한 맛이 조화를 이루고 곡식향과 천연 탄산 감이 어우러진 우리 술 백미 탁주입니다.
105,애플블랑,예산사과와인,"예산사과(국내산) 86%, 설탕, 효모, 구연산, 무수아황산(산화방지제), 소르빈산칼륨(합성보존료)",750ml,12%,"향긋한 사과향이 코 끝을 자극하며, 입안에서 퍼지는 낭만적인 달콤함과 연이어 찾아오는 부드러운 목 넘김을 경험해 보세요."
106,얼떨결에 옐로,동강주조,"쌀(국내산),좁쌀(국내산),옥수수(국내산),정제수,정제효모,효모,젖산(산도조절제),기타과당,곡자(밀),밀함유",935ml,6%,기존의 묵직한 바디감의 막걸리들 과 달리 청량하고 가볍습니다.
107,주향아라,담을술공방,"쌀(국내산),국,효모,정제수,정제효모",375ml,55%,3년간의 숙성을 통해 목넘김의 이질감을 최소화하여 마시는 순간 녹아 사라지는 듯한 깔끔함을 선사합니다.
108,홍시,배상면주가,"정제수,감[홍시]30.8%(국내산),액상과당,주정,설탕,DL-사과산,효모",700ml,12%,"농축된 홍시의 단맛이 입안을 메우지만 잔상이 길지 않아 부담 없고, 후미에 씁쓸한 알코올 맛이 올라와 밸런스를 이룹니다."
109,화전일취18 백화,농업회사법인주식회사지시울,"쌀,누룩,정제수,꽃22종",500ml,18%,"화전일취18 백화 제조는 일 년 내내, 꽃이 피는 사계절 동안 양조장에서 피어나는 꽃들을 따 모아 말리는 것부터 시작합니다. 다양한 꽃을 넣어 한 모금 한 모금이 꽃을 머금은 듯한 풍미를 줍니다."
110,블링블링 바다별,영덕주조,"정제수,사과(국내산100%),증류원액,정백당,효소처리스테비아,사과향(천연향료),구연산(산도조절제),진주빛색소,식용색소청색 제1호(착색료)",375ml,15%,"블링블링 바다별은 사과의 신맛과 달콤함이 어우러져 청량한 맛을 느낄 수 있으며, 아름다운 펄과 함께 마치 오로라를 연상시키는 리큐르입니다."
111,청탁막걸리,금정산성 토산주,"정제수,쌀(국산),곡자(누룩),아스파탐(감미료,페닐알라닌 함유)밀함유",750ml,5%,100% 우리쌀로 만들어  더 건강하고 깊은 풍미를 느낄 수 있는 막걸리입니다.
112,운암 32오크,맑은내일,증류원액(쌀-국내산100%).정제수,375ml,32%,인공감미료 및 어떠한 당도 들어가지 않고 쌀 본연의 맛과 풍미에 집중한 무첨가 웰메이드 증류식 소주이며 32%도수지만 감압 증류 방식을 사용하여 깔끔하고 부드럽습니다.
113,방풍 막걸리,금오도섬마을,"정제수,쌀(국내산),방풍(국산)7.7%,누룩,수크랄로스(감미료)",500ml,10%,여수 금오도 방풍막걸리는 방풍 잎에서 추출한 방풍즙이 7.7% 첨가된 막걸리입니다.옛부터 풍을 예방한다고 하여 이름붙여진 방풍나물은 뛰어난 약용성분을 가지고 있어 약재로도 사용되었습니다.
114,진도대복홍주 진 22호,진도대복홍주,"검정찹쌀(국내산),지초(국내산)",1800ml,60%,홍주는 조선시대 진상품으로 꼽힐 만큼 그 붉은 빛깔과 향이 감미로운 술입니다. 애주가들에게 인정받으며 그 명맥을 유지하고 있는 전통 명주입니다.
115,온지몬,온지술도가,"정제수, 찹쌀(국내산), 레몬청, 고구마, 감자, 누룩(밀 함유)",500ml,10%,"새콤 달콤 끝판왕 제주산 레몬을 세척 후 슬라이스해 직접 담근 청을 이용, 인공적인 행을 첨가 하지 않고도 자연스러운 레몬의 맛과 향이 잘 느껴집니다. 하나같이 심심하지 않은 맛이라는 점이데 온지 시리즈를 접해보신 분들이라면 고개를 끄덕끄덕 하실겁니다"
116,까망토끼,술샘,"쌀,흑미 ,오미자(이상국내산),조효소제,정제수",375ml,9%,"까망토끼는 용인 백옥쌀과 국내산 흑미를 사용해 파스텔블랙 컬러의 매혹적인 색을 띄며,100% 수작업으로 빚는 프리미엄 탁주입니다."
117,퍼플 진,술샘,"진원액,정제수,퍼플그레이프칼라",500ml,36.5%,달고 부드러운 맛이랑 거부감 없는 향기가 특징입니다. 증류주가 감미료를 넣은 것 처럼 달고 부드럽습니다.또한 향 손실을 방지하기 위해 특수한 방법으로 탈기와 숙성공정을 거친 후 만들어 집니다.
118,려 고구마 소주,국순당여주명주,"쌀증류소주원액(여주산 쌀 100%),정제수,고구마증류소주원액(여주산 고구마100%)",375ml,25%,여주산 고구마100%를 상압 증류 후 옹기 숙성 해 깊고 풍부한 풍미가 뛰어난 부드러운 맛입니다.
119,옹기 막걸리,배상면주가,"정제수,쌀가루(국내산),백설탕,활성건조효모(건조효모,유화제),국[조효소제(밀),정제효소],구연산,밀함유",1980ml,7%,"단맛보다는 산미가 풍부해 느린마을 막걸리와는 다른 매력을 느낄 수 있고, 인공감미료 없이 우리 쌀로만 빚어 목넘김이 더욱 부드럽고 꾸밈없는 막걸리입니다."
120,레돔 레드와인,작은알자스,포도 (국산 100%) 99.996% 무수아황산 0.004%,750ml,12%,"복분자와 체리와 같은 작고 붉은 열매 향이 나며 ,적절한 바디감과 부드러운 탄닌으로 편하게 마실 수 있는 레드와인입니다."
121,딸기아랑주,밀향,"정제수,쌀(국내산),돌배(국내산),딸기(국내산),조제종국,누룩(밀),입국(국내산),스쿠랄로스(감미료)",750ml,6%,아랑주는 향긋한 딸기향과 딸기 본연의 달콤한 그 맛이 좋아 남녀 노소 누구나 부담없이 마시기 좋습니다.
122,옛날 생동동주,남도탁주,"물, 쌀(국내산), 쌀가루(국내산), 효모, 조제종국, 정제효소제, 젖산, 아스파탐(감미료,페닐알라닌 함유), 아세셀팜칼륨(감미료)",750ml,6%,깨지지 않고 동동 떠있는 쌀알들이 강하지 않은 자연 탄산과 함께 부드럽게 입 안을 넘어갑니다.
123,짝꿍막걸리,한강주조,"정제수 ,쌀(국내산),국,효모,밀합유",620ml,8%,기존 막걸리에서 즐길 수 없었던 다양하고 복잡한 맛이 매력적인 술입니다.
124,산머루주,농업회사법인 유한회사 덕유,"머루39.645%(국내산), 설탕, 메타중아황산칼륨(산화방지제), 효모, 주정, 정제수, 과당, 효소처리스테비아",360ml,16%,당도가 높고 과즙이 풍부하여 머루의 깊은 향과 맛을 느낄 수 있습니다.
125,토끼소주 골드,농업회사법인 토끼소주 (주),"정제수, 찹쌀(국내산), 누룩, 효모, 효소제",375ml,46%,"토끼소주를 미국산 버진 오크통 숙성을 거친 46도의 제품으로 오크의 바닐라와 다크초콜릿, 다크체리의 향긋함과 캐러멜, 구운 견과류의 부드럽고 풍성한 여운이 특집입니다.
개봉하여 마시는 첫 술도 좋지만 실온보관 후 마시는 두번째 술은 더욱 부드럽게 토끼소주를 즐기실 수 있는 방법입니다."
126,토끼소주 블랙,농업회사법인 토끼소주 (주),"정제수, 찹쌀(국내산), 누룩, 효모, 효소제",375ml,40%,술은 마시자마자 고소한 향이 은은한 스며드는 술입니다.깻잎에서 느낄 법한 향긋한 향이 입안 분위기를 화사하게 바꿉니다.
127,천상문,한산소곡주,"찹쌀37.37%(국내산),누룩14.01%(국내산),멥쌀11.21%(국내산),들국화,메주콩,생강,홍고추",500ml,18%,"엽전모양의 독특한 도자기와 끓이지 않는 삶을 상징하는 당초무늬, 깊은 바다같은 푸른색을 지닌 도자기가 특징입니다.명인의 소곡주와 조화를 이루어 많은 사랑을 받는 제품입니다."
128,가무치,농업회사법인 주식회사 다농바이오,"정제수, 쌀(국내산), 입국, 효모",375ml,25%,"가무치 소주는 잔에 따르는 순간부터 피어오르는 강렬한 향을 가진 소주입니다.
하지만 그 속에는 섬세하고 부드러운, 신선한 향들을 가지고 있습니다.
입에 들어오면 무게감 있고 오일리한 질감들이 퍼지며
마지막에는 쌀에서 오는 기분좋은 달콤함이 잔잔하게 남아있게 됩니다.
천천히 음미하면 다양한 모습들을 만나볼 수 있는,
가무치 소주는 그런 역동적인 술입니다."
129,부안 참뽕주,내변산,"정제수,오디(국내산)30.38%,설탕,주정,과당,구연산,효모,사과산",375ml,13%,6월에 바로 수확한 부안의 햇오디만을 사용하여 내변산 양조장만의 특별한 발효과장을 통해 오크 숙성하여 빚은 깊은 풍미를 내는 부안 참뽕 와인입니다.
130,에피소드,밝은세상영농조합,"쌀(평택산100%), 사과, 꿀, 유자, 정제수, 누룩, 정백당, 로즈마리",750ml,9%,"투명한 분홍 빛 하늘,끝 없이 이어진 풍요로운 들판,코끝을 자극하는 상큼한 바람이고 미지의 세계로 들어선 호랑이의 첫 번째 에피소드입니다.

은은한 꽃 향기, 다양한 부재료가 선사하는 오묘한 맛의 컴비네이션,깔끔하고 기분 좋은 피니쉬입니다."
131,백제소주,내변산,"정제수, 쌀증류원액(쌀: 국내산 100%)",375ml,25%,"백제소주는 증류한 술을 한번 더 증류하여 더 깔끔하고,더 깨끗한 상태로 만들며 원주의 플로럴한 향을 가지며 8개월간 술 숙성 전용 항아리 숙성을 통해 숙취가 적고 부드러운 증류주를 완성시킵니다."
132,낙안읍성,화목양조장,"찹쌀 36%(국내산), 맵쌀 7%(국내산), 누룩2%(국내산), 천연암반수 55%,",750ml,12%,"낙안뜰에서 친환경 지역 농산물로 재배한 우리 찹쌀, 다양한 발효균이 살아있는 전통누룩 그리고 천연암반수만을 사용하여 진한 감칠 맛을 느낄 수 있습니다."
133,허니문배,농업회사법인 주식회사 비전레드,"사과즙50.94%(사과:국산), 배즙20.79%(배:국산), 정제수, 벌꿀3.48%(국산), 홍차, 배향, 천일염, 탄산가스, 사과산(산도조절제), 구연산(산도조절제), 메타중아황산칼륨(산화방지제), 효모아황산류함유",750ml,4.9%,신선한 국산 배즙과 달달한 꿀이 만나 완성된 스위트 배 사이더입니다.
134,프렌치 린넨,농업회사법인 주식회사 비전레드,"사과즙60.80%(사과:국산), 정제수, 배농축과즙(고형분67%,배:국산), 벌꿀(국산), 청포도농축액(청포도100%), 레드자몽농축액(레드자몽100%), 바질, 청포도향, 탄산가스, 사과산(산도조절제), 구연산(산도조절제), 메타중아황산칼륨(산화방지제), 효모아황산류함유",750ml,4.7%,청포도의 상큼함과 자몽의 새콤한 밸런스를 바질 향이 깔끔하게 잡아줍니다.
135,생딸기 막걸리,농업회사법인 상주주조(주),"햅쌀(국내산 신동진품종),쌀,쌀가루,국내산 딸기,효모,효소,정제수,프락토올리고당",750ml,6%,단맛을 내기 위하여 아스파탐 등 화학첨가물을 일체 넣지 않습니다. 햅쌀과 생딸기에서 우러난 천연의 건강한 단맛을 만끽합니다.
136,병영사또,병영양조장,"쌀증류식소주원액[햅쌀(국내산)],복분자(국내산),오디(국내산),정제수",200ml,40%,40도 고도주임에도 부드러운 목 넘김은 전통주의 새로운 품격을 느끼게 합니다.오랜 숙성의 완숙주로 향기가 은은하고 목 넘김이 부드러우며 숙취가 없습니다.
137,너디호프,농업회사법인 상주주조(주),"정제수,찹쌀(국산),누룩,효모,정제효소,바질",700ml,5%,"너디호프는 처음에는 바질의 휘몰아치는 향,그리고 보태니컬한 맛, 그 되를 따르는 마지막 산미의 깔끔한 피니쉬가 조화를 이룹니다."
138,고창 복분자주 특4호,고창명산품복분자주,"복분자48.8%(국산), 정제수, 수정, 설탕, 구연산, 알라닌, 스테비올배당체, 효모",500ml,18%,차게 해서 드시면 복분자 특유 적당한 단맛과 드라이한 맛이 어우러진 특별한 향미를 즐기실 수 있습니다.
139,보스토끼,한강주조,"정제수,쌀(국내산),국(말함유),효모",700ml,9%,보스토끼 막걸리는 단맛보다는 경쾌한 산미와 담백한 맛 거기에 적당한 탄산이 어우러진 Alc.9%무감미료 드라이 생 막걸리입니다.
140,스톰탁주,밀양클래식술도가,"국내산 쌀 (밀양),정제수,쌀,입국,스테비올 배당체",500ml,6%,"세계적인 인기 캐릭터 와 오리지널 스톰트루퍼 와 90년 전통의 밀양 클래식 술도가 가 협업하여 제작된 글로벌 막걸리 프로젝트입니다.
기분 좋게 달달하고 탄산이 강하지 않아 누구나 즐길 수 있는 깔끔하고 상쾌한 맛입니다."
